study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA187927	SAMN04581458	SRS1364009	SRX1664459	SRR3299775	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299775/SRR3299775.fastq.gz
PRJNA187927	SAMN04581458	SRS1364009	SRX1664459	SRR3299776	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299776/SRR3299776.fastq.gz
PRJNA187927	SAMN04581458	SRS1364009	SRX1664459	SRR3299777	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299777/SRR3299777.fastq.gz
PRJNA187927	SAMN04581459	SRS1364010	SRX1664460	SRR3299778	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299778/SRR3299778.fastq.gz
PRJNA187927	SAMN04581459	SRS1364010	SRX1664460	SRR3299779	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/009/SRR3299779/SRR3299779.fastq.gz
PRJNA187927	SAMN04581459	SRS1364010	SRX1664460	SRR3299780	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/000/SRR3299780/SRR3299780.fastq.gz
PRJNA187927	SAMN04581459	SRS1364010	SRX1664460	SRR3299781	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/001/SRR3299781/SRR3299781.fastq.gz
PRJNA187927	SAMN04581460	SRS1364008	SRX1664461	SRR3299782	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/002/SRR3299782/SRR3299782.fastq.gz
PRJNA187927	SAMN04581460	SRS1364008	SRX1664461	SRR3299783	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/003/SRR3299783/SRR3299783.fastq.gz
PRJNA187927	SAMN04581460	SRS1364008	SRX1664461	SRR3299784	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/004/SRR3299784/SRR3299784.fastq.gz
PRJNA187927	SAMN04581461	SRS1364007	SRX1664462	SRR3299785	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/005/SRR3299785/SRR3299785.fastq.gz
PRJNA187927	SAMN04581462	SRS1364006	SRX1664463	SRR3299786	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/006/SRR3299786/SRR3299786.fastq.gz
PRJNA187927	SAMN04581462	SRS1364006	SRX1664463	SRR3299787	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/007/SRR3299787/SRR3299787.fastq.gz
PRJNA187927	SAMN04581462	SRS1364006	SRX1664463	SRR3299788	SRA065807	3702	Arabidopsis thaliana	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR329/008/SRR3299788/SRR3299788.fastq.gz
