study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA236110	SAMN02594650	SRS541003	SRX445875	SRR1138710	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138710/SRR1138710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138710/SRR1138710_2.fastq.gz
PRJNA236110	SAMN02594662	SRS541004	SRX445876	SRR1138711	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138711/SRR1138711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138711/SRR1138711_2.fastq.gz
PRJNA236110	SAMN02594656	SRS541005	SRX445877	SRR1138712	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138712/SRR1138712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138712/SRR1138712_2.fastq.gz
PRJNA236110	SAMN02594648	SRS541006	SRX445878	SRR1138713	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138713/SRR1138713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138713/SRR1138713_2.fastq.gz
PRJNA236110	SAMN02594648	SRS541006	SRX445878	SRR1138714	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138714/SRR1138714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138714/SRR1138714_2.fastq.gz
PRJNA236110	SAMN02594661	SRS541007	SRX445879	SRR1138715	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138715/SRR1138715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138715/SRR1138715_2.fastq.gz
PRJNA236110	SAMN02594658	SRS541008	SRX445880	SRR1138716	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138716/SRR1138716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138716/SRR1138716_2.fastq.gz
PRJNA236110	SAMN02594658	SRS541008	SRX445880	SRR1138717	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138717/SRR1138717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138717/SRR1138717_2.fastq.gz
PRJNA236110	SAMN02594657	SRS541009	SRX445881	SRR1138718	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138718/SRR1138718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138718/SRR1138718_2.fastq.gz
PRJNA236110	SAMN02594657	SRS541009	SRX445881	SRR1138719	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138719/SRR1138719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138719/SRR1138719_2.fastq.gz
PRJNA236110	SAMN02594663	SRS541010	SRX445882	SRR1138720	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138720/SRR1138720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138720/SRR1138720_2.fastq.gz
PRJNA236110	SAMN02594664	SRS541011	SRX445883	SRR1138721	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138721/SRR1138721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138721/SRR1138721_2.fastq.gz
PRJNA236110	SAMN02594664	SRS541011	SRX445883	SRR1138722	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138722/SRR1138722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138722/SRR1138722_2.fastq.gz
PRJNA236110	SAMN02594660	SRS541012	SRX445884	SRR1138723	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138723/SRR1138723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138723/SRR1138723_2.fastq.gz
PRJNA236110	SAMN02594660	SRS541012	SRX445884	SRR1138724	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138724/SRR1138724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138724/SRR1138724_2.fastq.gz
PRJNA236110	SAMN02594670	SRS541013	SRX445885	SRR1138725	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138725/SRR1138725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138725/SRR1138725_2.fastq.gz
PRJNA236110	SAMN02594670	SRS541013	SRX445885	SRR1138726	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138726/SRR1138726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138726/SRR1138726_2.fastq.gz
PRJNA236110	SAMN02594667	SRS541014	SRX445886	SRR1138727	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138727/SRR1138727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138727/SRR1138727_2.fastq.gz
PRJNA236110	SAMN02594665	SRS541015	SRX445887	SRR1138728	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138728/SRR1138728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138728/SRR1138728_2.fastq.gz
PRJNA236110	SAMN02594665	SRS541015	SRX445887	SRR1138729	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138729/SRR1138729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138729/SRR1138729_2.fastq.gz
PRJNA236110	SAMN02594672	SRS541016	SRX445888	SRR1138730	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138730/SRR1138730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138730/SRR1138730_2.fastq.gz
PRJNA236110	SAMN02594672	SRS541016	SRX445888	SRR1138731	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138731/SRR1138731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138731/SRR1138731_2.fastq.gz
PRJNA236110	SAMN02594668	SRS541017	SRX445889	SRR1138732	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138732/SRR1138732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138732/SRR1138732_2.fastq.gz
PRJNA236110	SAMN02594668	SRS541017	SRX445889	SRR1138733	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138733/SRR1138733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138733/SRR1138733_2.fastq.gz
PRJNA236110	SAMN02594666	SRS541018	SRX445890	SRR1138734	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138734/SRR1138734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138734/SRR1138734_2.fastq.gz
PRJNA236110	SAMN02594666	SRS541018	SRX445890	SRR1138735	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138735/SRR1138735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138735/SRR1138735_2.fastq.gz
