Accessionid	FLC_meth_status	Latitude	Longitude
9585	UM	43.4	-7.39
9853	UM	43.33	-5.91
9517	UM	42.19	-7.8
9801	UM	48.54	9.01
765	UM	42.18	73.4
7282	UM	50.38	8.01
6909	UM	38.3	-92.3
9795	UM	48.5	9.11
9996	UM	48.52	8.8
7062	UM	50.3	8.27
9788	UM	48.53	9.01
9791	UM	48.6	9.2
763	UM	42.3	74.37
9816	UM	48.55	9.06
6940	UM	50.3	8.3
7161	UM	53.5	10.5
9766	UM	42.26	74.16
8365	UM	49	16
7333	UM	46.54	11.56
7213	UM	47.98	10.87
9512	UM	38.22	-7.84
9786	UM	48.54	9.01
7028	UM	49.52	9.32
9854	UM	43.36	-5.88
5104	UM	51.3	0.5
7119	UM	50	8.5
9803	UM	48.42	8.76
6830	UM	49.5	73.1
6180	UM	62.63	17.69
6923	UM	51.41	-0.64
9781	UM	48.52	9.11
7525	UM	42.04	-86.51
9790	UM	48.58	9.18
7394	UM	52.3	21
9823	UM	43.34	-5.84
6967	UM	51.41	-0.64
7067	UM	37.3	15
9789	UM	48.39	8.96
7081	UM	40.21	-8.43
9941	UM	40.92	-8.54
9800	UM	48.54	9.01
8239	UM	51	7
6943	UM	51.41	-0.64
9802	UM	48.51	9.11
9792	UM	48.54	9.09
7125	UM	49.6	11.01
7120	UM	50	8.5
7162	UM	52.24	9.44
9806	UM	48.56	9.16
9774	UM	48.59	9.22
9807	UM	48.6	9.22
6042	UM	56.09	13.9
7094	UM	49.87	8.65
9727	UM	37.63	21.62
915	UM	41.9	-71.44
7332	UM	47	-122.2
9784	UM	48.5	8.8
9777	UM	48.57	9.17
7258	UM	50.5	8.5
5236	UM	51.2	0.4
7165	UM	51.35	8.29
7273	UM	51.06	13.3
7268	UM	52.7	10.98
7163	UM	52.37	9.74
9775	UM	48.41	8.79
9771	UM	48.56	9.11
8290	UM	50	8.5
9911	UM	47.16	4.28
9794	UM	48.52	9.08
9782	UM	48.53	9.09
7203	UM	49.63	11.57
6922	UM	50.3	8
7143	UM	51.02	5.87
9779	UM	48.5	8.78
9798	UM	48.54	9.01
9769	UM	48.55	8.99
9875	UM	43.38	-5.87
9770	UM	48.53	9.01
7071	UM	48.07	1.34
9785	UM	48.54	9.02
7415	UM	49.79	9.94
7209	UM	52.73	15.23
9813	UM	48.4	8.77
7026	UM	54.4	-3.27
9298	UM	55.97	-3.22
7127	UM	58.67	24.99
6926	UM	44.46	-85.37
9780	UM	48.43	8.79
9812	UM	48.52	9.03
7109	UM	51.3	0.5
7244	UM	50	8.27
5811	UM	52.9	-3.1
7208	UM	55.67	-3.78
7418	UM	47.37	8.55
7133	UM	50.11	8.68
6973	UM	56.06	13.97
9797	UM	48.54	9.02
9908	UM	50.72	3.47
7280	UM	53.17	8.2
7347	UM	52	36
6911	UM	15.11	-23.62
6744	UM	40.86	-73.47
265	UM	44.65	-1.17
6975	UM	48.3	14.45
7031	UM	50.02	8.67
7255	UM	50.95	7.5
8420	UM	50.07	8.53
7337	UM	50.87	8.02
7344	UM	47.67	9.5
6987	UM	48.07	7.63
9815	UM	48.54	9.02
5726	UM	51.3	1.1
7287	UM	53.34	8.42
9814	UM	48.42	8.79
6931	UM	49.5	73.1
9933	UM	43.74	3.89
9778	UM	48.41	8.84
7276	UM	50.2	8.58
10001	UM	48.52	9.05
9651	UM	40.68	14.87
7306	UM	49.27	-123.21
7186	UM	54.9	23.89
9900	UM	37.38	-6.01
6970	UM	41.72	2.93
4826	UM	50.4	-4.9
9515	UM	39.72	-6.89
9809	UM	48.52	9.05
7218	UM	52.16	4.49
7343	UM	52.53	13.18
9997	UM	48.56	9.16
7396	UM	52.3	30
6041	UM	56.03	14.78
7322	UM	56.3	34
7378	UM	48.03	7.77
8312	UM	50.5	7.5
7477	UM	41.73	-71.28
8238	UM	51.15	0.4
9653	UM	38.44	16.13
7025	UM	44.5	11.34
7147	UM	50.58	8.68
7319	UM	42	12.1
9808	UM	48.52	9.08
9805	UM	48.54	9.09
6959	UM	48.5	-1.41
7327	UM	41.78	3.03
6188	UM	55.77	14.14
9560	UM	38.19	-6.24
7411	UM	47.93	10.81
9917	UM	46.69	4.34
7092	UM	49.42	2.82
6992	UM	50.3	5.3
9946	UM	38.92	-6.34
6933	UM	41.59	2.49
7372	UM	47.07	9.9
8214	UM	49	2
9768	UM	48.57	9.16
7373	UM	34.43	136.31
9511	UM	38.53	-8.02
430	UM	47	15.5
9914	UM	47.58	5.33
8357	UM	41.5	2.25
9820	UM	41	-4.71
9537	UM	38.07	-6.66
6997	UM	51.83	5.58
6945	UM	52.24	4.45
9874	UM	42.34	-3
6189	UM	55.77	14.14
159	UM	47.35	3.93
9924	UM	48.59	4.24
9909	UM	50.59	3.3
9864	UM	41.76	2.69
7514	UM	41.56	-86.43
9776	UM	48.43	8.79
9312	UM	57.9	-5.15
9719	UM	41.83	25.69
9759	UM	37.47	49.47
630	UM	40.78	-72.91
8419	UM	54.68	25.32
428	UM	49.4	16.23
9879	UM	37.6	-1.12
8343	UM	47.5	1.5
9104	UM	41.83	46.28
9314	UM	57.97	-3.97
9597	UM	42.31	-2.53
9939	UM	31.48	-7.45
9956	UM	54.06	60.48
6989	UM	54.8	-2.43
6390	UM	49.28	16.63
6929	UM	38.48	68.49
6039	UM	56.1	13.74
5353	UM	54.5	-3
7296	UM	59	29
9697	UM	41.62	23.94
9793	UM	48.57	9.16
9131	UM	39.87	45.36
9985	UM	41.43	23.65
9699	UM	41.37	23.14
9817	UM	39.84	-6.6
9749	UM	43.54	22.29
9412	UM	57.27	16.15
9837	UM	37.94	-5.6
7323	UM	49	38.28
7356	UM	41.66	-83.56
9519	UM	41.94	2.64
10011	UM	39.87	45.36
7384	UM	52.03	5.55
9731	UM	48.46	18.9
9617	UM	51.37	59.44
8241	UM	55.95	13.82
9963	UM	39.18	16.26
9838	UM	41.83	-5.38
9521	UM	41.43	2.13
9713	UM	42.49	25.61
9723	UM	41.42	23.67
9979	UM	46.36	11.23
7523	UM	42.09	-86.33
5784	UM	56.4	-5.2
6976	UM	48.3	14.45
9626	UM	51.36	82.59
6938	UM	55.75	37.63
9895	UM	41.78	2.57
9369	UM	57.68	15
9741	UM	45.84	23.16
9655	UM	38.92	16.47
9613	UM	55.36	61.41
9976	UM	46.25	11.17
6956	UM	49.42	16.36
9639	UM	53.82	80.31
9938	UM	50.65	2.99
9620	UM	51.82	79.48
9624	UM	53.6	79.37
9629	UM	51.35	82.18
9743	UM	45.14	25
9413	UM	57.27	16.15
10010	UM	41.45	70.05
9958	UM	53.33	49.48
6112	UM	55.8	13.1
9633	UM	51.63	80.83
9721	UM	42.72	25.33
5210	UM	51.2	0.3
9881	UM	40.46	-5.32
9706	UM	41.64	24.18
9404	UM	55.75	13.4
9533	UM	41.15	-4.32
9718	UM	41.55	24.75
9982	UM	39.01	16.47
9630	UM	51.34	82.16
8424	UM	35	77
9906	UM	40	4.25
9102	UM	41.83	46.28
7947	UM	42.09	-86.33
5165	UM	51.3	0.4
9755	UM	44.56	22.56
9987	UM	41.43	23.5
1872	UM	43.6	-86.27
9733	UM	48.47	18.94
2276	UM	43.67	-86.5
6957	UM	49.42	16.36
9708	UM	41.62	25.35
6074	UM	56.46	16.14
9748	UM	44.23	21.71
5832	UM	56.33	15.97
9518	UM	39.88	-0.36
4807	UM	50.4	-4.9
997	UM	55.38	14.05
9831	UM	38.54	-3.39
9732	UM	48.47	18.96
9627	UM	51.32	82.55
9656	UM	40.64	17.31
6092	UM	55.65	13.22
9918	UM	47.43	5.21
9599	UM	42.8	-5.77
9399	UM	55.42	13.99
9561	UM	40.71	-5.04
6094	UM	55.65	13.21
8234	UM	56.46	15.81
9953	UM	51.33	82.19
8222	UM	56.03	14.78
6919	UM	50.3	8
8369	UM	55.69	13.45
8306	UM	56.1	13.74
9569	UM	42.87	-6.45
9848	UM	40.11	-5.77
9634	UM	54.13	81.31
9075	UM	38.74	48.61
1829	UM	42.05	-86.51
6149	UM	55.93	13.55
6118	UM	55.7	13.2
9524	UM	42.52	-0.56
6125	UM	55.84	13.31
9079	UM	38.78	48.55
6201	UM	55.77	14.12
9383	UM	55.81	14.21
6151	UM	55.65	13.22
6107	UM	55.79	13.12
6124	UM	55.84	13.31
8231	UM	56.3	16
6104	UM	55.7	13.2
9951	UM	51.34	82.57
9942	UM	41.32	-1.34
9594	UM	42.04	1.01
5822	UM	56.73	-5.98
9557	UM	42.46	0.7
6009	UM	62.88	18.18
9904	UM	40.95	-3.31
9558	UM	41.57	-5.64
9339	UM	57.71	15.07
9581	UM	42.84	-5.12
6900	UM	63.32	18.48
9408	UM	56.05	13.95
6210	UM	62.88	18.18
6974	UM	56.06	13.97
10006	UM	44.64	34.38
9454	UM	57.8	18.52
9631	UM	51.65	80.79
7424	gbm	49.2	16.62
6979	gbm	47.25	8.26
7117	gbm	51.51	9.68
7103	gbm	49.42	16.27
7199	gbm	50.95	6.97
7250	gbm	51.92	10.11
7383	gbm	49.3	-123
5800	gbm	57.4	-5.5
6960	gbm	48.5	-1.41
9660	gbm	40.84	14.57
7382	gbm	52.09	5.11
8426	gbm	56.06	13.97
6932	gbm	47.98	10.87
9772	gbm	48.41	8.85
7202	gbm	50.18	8.51
9606	gbm	31.48	-7.45
7387	gbm	54.99	-2.37
9883	gbm	42.1	-2.56
9995	gbm	48.14	9.4
9810	gbm	48.53	9.07
6008	gbm	49.1	16.2
6981	gbm	52.3	30
772	gbm	37.35	72.47
9910	gbm	50.68	3.52
5023	gbm	51.3	0.5
6243	gbm	55.95	13.85
6986	gbm	57.15	-2.22
7077	gbm	40.12	-8.25
9926	gbm	48.86	4.1
7106	gbm	51.05	13.73
6944	gbm	51.41	-0.64
9847	gbm	43.31	-5.7
9811	gbm	48.52	9.05
7177	gbm	49	15
9608	gbm	51.37	59.44
8256	gbm	56.4	12.9
9804	gbm	48.45	8.87
9591	gbm	42.86	-3.59
9796	gbm	48.41	8.84
9998	gbm	48.44	8.82
5644	gbm	54.4	-2.9
9507	gbm	38.45	-7.5
6924	gbm	51.41	-0.64
9937	gbm	50.79	2.69
9657	gbm	38.45	16.04
7413	gbm	54.68	25.32
9921	gbm	48.57	4.41
9920	gbm	48.54	4.32
5772	gbm	54.1	-2.3
8386	gbm	58.9	11.2
9787	gbm	48.5	9
4884	gbm	50.3	-4.9
6961	gbm	38.33	-3.53
9590	gbm	43.37	-5.49
88	gbm	47.4	0.68
9799	gbm	48.39	8.85
7107	gbm	54.78	-1.57
7003	gbm	47.5	7.5
9609	gbm	51.41	59.98
5577	gbm	54.7	-3.4
9830	gbm	36.97	-3.28
10015	gbm	37.29	71.3
7328	gbm	41.78	3.03
350	gbm	46.67	4.12
7305	gbm	53.48	10.61
8285	gbm	49.41	16.28
7350	gbm	47.24	-122.46
108	gbm	48.52	-4.07
7349	gbm	49.5	14.5
6108	gbm	55.8	13.12
7298	gbm	47.04	10.51
9544	gbm	39.4	-5.33
9503	gbm	55.89	-3.21
9862	gbm	40.45	-3.67
7521	gbm	49.38	16.81
403	gbm	49.37	16.27
9647	gbm	40.37	16.77
5890	gbm	49.41	16.28
9873	gbm	37.94	-5.45
9510	gbm	38.75	-7.59
5921	gbm	49.41	16.28
9965	gbm	38.38	16.22
7068	gbm	42	12.1
6903	gbm	49.4	16.23
9526	gbm	41.54	2.39
9726	gbm	37.07	22.04
9725	gbm	37.6	23.08
9968	gbm	39.27	16.27
8077	gbm	41.34	-86.74
9761	gbm	33.92	35.7
9899	gbm	42.54	0.84
8326	gbm	56.03	14.78
9983	gbm	41.62	12.87
8244	gbm	48.61	2.31
6191	gbm	55.77	14.14
9509	gbm	39.29	-7.4
6951	gbm	49.42	16.36
6195	gbm	55.77	14.13
9578	gbm	42.13	-6.7
8311	gbm	47.5	11.5
7164	gbm	55.68	12.57
7377	gbm	43.27	-85.26
9573	gbm	41.86	2.99
9827	gbm	42.78	0.69
6907	gbm	51.41	-0.64
6990	gbm	53.45	5.73
9522	gbm	36.52	-5.27
9980	gbm	38.62	16.17
9508	gbm	40.04	-7.11
9648	gbm	39.48	16.28
9128	gbm	39.87	45.36
9596	gbm	41.95	-7.45
9541	gbm	38.26	-5.42
9949	gbm	42.69	-6.93
9529	gbm	36.97	-3.36
9513	gbm	38.77	-4.07
9744	gbm	47.16	27.59
5720	gbm	53.3	-1.6
9737	gbm	45.95	22.62
7061	gbm	53.27	-1.64
5893	gbm	49.41	16.28
8307	gbm	56.1	13.74
9860	gbm	42.24	-2.62
9964	gbm	38.36	16.23
9134	gbm	39.87	45.36
9391	gbm	57.33	15.9
5993	gbm	49.41	16.28
7342	gbm	53.65	-3.01
410	gbm	49.42	16.35
351	gbm	46.67	4.12
6904	gbm	49.2	16.62
5950	gbm	49.41	16.28
8259	gbm	56.4	12.9
9534	gbm	40.05	-4.65
7058	gbm	54.1	-6.2
6897	gbm	45	1.3
9645	gbm	45.17	18.7
9559	gbm	38.06	-4.38
9659	gbm	41.18	14.18
9960	gbm	51.31	57.56
5757	gbm	54.6	-2.3
5779	gbm	51	-3.1
9649	gbm	39.13	16.17
10005	gbm	46.11	21.95
9944	gbm	36.83	-6.36
9133	gbm	39.87	45.36
9611	gbm	53.04	51.9
8243	gbm	43.77	11.25
9739	gbm	46.01	22.33
7138	gbm	50.5	8.02
9868	gbm	41.78	2.37
7917	gbm	42.09	-86.33
932	gbm	42.36	-71.14
9506	gbm	40.11	-7.47
9644	gbm	45.07	18.72
9125	gbm	40.14	44.82
9969	gbm	40.18	16.45
5874	gbm	49.41	16.28
9628	gbm	51.33	82.54
9610	gbm	53.04	51.96
9703	gbm	41.53	23.39
2016	gbm	43.54	-86.18
9547	gbm	41.67	2.62
9113	gbm	41.83	46.28
7288	gbm	60.23	6.13
9704	gbm	41.53	23.39
7353	gbm	52.08	4.3
7102	gbm	50.72	8.24
9612	gbm	53.04	51.94
9962	gbm	40.57	15.32
9115	gbm	41.83	46.28
9821	gbm	41.81	2.49
9565	gbm	42.97	-1.23
7307	gbm	48.07	-2.97
8337	gbm	44	12.37
9762	gbm	37.69	14.98
9707	gbm	41.57	24.84
9600	gbm	39.85	-6.04
9826	gbm	42.49	-6.71
9756	gbm	44.3	21.08
9709	gbm	41.85	23.13
5151	gbm	52.2	-1.7
9738	gbm	45.57	25.42
9935	gbm	50.6	2.93
6035	gbm	56.1	13.74
9100	gbm	41.83	46.28
9735	gbm	48.47	18.94
7014	gbm	56.55	-4.8
9694	gbm	46.34	11.29
9698	gbm	41.57	23.85
7320	gbm	49.44	1.1
6115	gbm	55.8	13.14
9990	gbm	41.83	46.28
9693	gbm	46.34	11.29
9407	gbm	55.75	13.4
9915	gbm	47.45	3.94
1890	gbm	43.51	-86.19
9745	gbm	41.45	70.05
9932	gbm	44.12	4.33
8284	gbm	49.41	16.28
8246	gbm	35	-79.18
9527	gbm	40.37	-5.74
10017	gbm	44.34	21.46
9894	gbm	42.59	0.76
9696	gbm	46.34	11.29
9601	gbm	41.85	-1.88
9928	gbm	44.12	3.77
6038	gbm	56.1	13.74
9728	gbm	48.46	18.9
768	gbm	42.8	76.35
7169	gbm	54.42	9.89
9105	gbm	41.83	46.28
9959	gbm	53.33	49.48
9402	gbm	57.88	14.85
10004	gbm	44.46	25.74
8297	gbm	46.5	6.08
9925	gbm	48.91	4.52
9643	gbm	52.1	79.31
9579	gbm	38.33	-3.51
9588	gbm	42.11	0.6
9668	gbm	46.37	11.28
9679	gbm	46.34	11.29
9966	gbm	40.28	15.66
6034	gbm	56.1	13.74
9869	gbm	36.76	-5.28
9640	gbm	51.87	80.06
9323	gbm	62.86	18.34
9700	gbm	42.32	23.1
9736	gbm	44.69	25.17
9525	gbm	42.49	0.54
10018	gbm	44.34	21.46
9897	gbm	40.95	-5.63
9690	gbm	46.34	11.29
9622	gbm	52.52	85.27
9701	gbm	43.7	25.91
9714	gbm	41.84	25.75
2171	gbm	42.15	-86.43
9637	gbm	51.77	80.85
9103	gbm	41.83	46.28
9850	gbm	42.86	-0.7
9689	gbm	46.34	11.29
9619	gbm	51.84	79.48
9710	gbm	41.85	23.13
