Accessionid	FLC_meth_status	Latitude	Longitude
9801	UM	48.54	9.01
7282	UM	50.38	8.01
9795	UM	48.5	9.11
9996	UM	48.52	8.8
7062	UM	50.3	8.27
9788	UM	48.53	9.01
9791	UM	48.6	9.2
9816	UM	48.55	9.06
6940	UM	50.3	8.3
8365	UM	49	16
9786	UM	48.54	9.01
7028	UM	49.52	9.32
5104	UM	51.3	0.5
7119	UM	50	8.5
9803	UM	48.42	8.76
6830	UM	49.5	73.1
6923	UM	51.41	-0.64
9781	UM	48.52	9.11
9790	UM	48.58	9.18
6967	UM	51.41	-0.64
9789	UM	48.39	8.96
9800	UM	48.54	9.01
8239	UM	51	7
6943	UM	51.41	-0.64
9802	UM	48.51	9.11
9792	UM	48.54	9.09
7125	UM	49.6	11.01
7120	UM	50	8.5
9806	UM	48.56	9.16
9774	UM	48.59	9.22
9807	UM	48.6	9.22
7094	UM	49.87	8.65
9784	UM	48.5	8.8
9777	UM	48.57	9.17
7258	UM	50.5	8.5
5236	UM	51.2	0.4
7165	UM	51.35	8.29
7273	UM	51.06	13.3
9775	UM	48.41	8.79
9771	UM	48.56	9.11
8290	UM	50	8.5
9794	UM	48.52	9.08
9782	UM	48.53	9.09
7203	UM	49.63	11.57
6922	UM	50.3	8
7143	UM	51.02	5.87
9779	UM	48.5	8.78
9798	UM	48.54	9.01
9769	UM	48.55	8.99
9770	UM	48.53	9.01
7071	UM	48.07	1.34
9785	UM	48.54	9.02
7415	UM	49.79	9.94
9813	UM	48.4	8.77
9780	UM	48.43	8.79
9812	UM	48.52	9.03
7109	UM	51.3	0.5
7244	UM	50	8.27
7133	UM	50.11	8.68
9797	UM	48.54	9.02
9908	UM	50.72	3.47
7347	UM	52	36
6975	UM	48.3	14.45
7031	UM	50.02	8.67
7255	UM	50.95	7.5
8420	UM	50.07	8.53
7337	UM	50.87	8.02
6987	UM	48.07	7.63
9815	UM	48.54	9.02
5726	UM	51.3	1.1
9814	UM	48.42	8.79
6931	UM	49.5	73.1
9778	UM	48.41	8.84
7276	UM	50.2	8.58
10001	UM	48.52	9.05
7306	UM	49.27	-123.21
4826	UM	50.4	-4.9
9809	UM	48.52	9.05
9997	UM	48.56	9.16
7378	UM	48.03	7.77
8312	UM	50.5	7.5
8238	UM	51.15	0.4
7147	UM	50.58	8.68
9808	UM	48.52	9.08
9805	UM	48.54	9.09
6959	UM	48.5	-1.41
7092	UM	49.42	2.82
6992	UM	50.3	5.3
8214	UM	49	2
9768	UM	48.57	9.16
6997	UM	51.83	5.58
9924	UM	48.59	4.24
9909	UM	50.59	3.3
9776	UM	48.43	8.79
428	UM	49.4	16.23
6390	UM	49.28	16.63
9793	UM	48.57	9.16
7323	UM	49	38.28
9731	UM	48.46	18.9
9617	UM	51.37	59.44
6976	UM	48.3	14.45
9626	UM	51.36	82.59
6956	UM	49.42	16.36
9938	UM	50.65	2.99
9620	UM	51.82	79.48
9629	UM	51.35	82.18
9633	UM	51.63	80.83
5210	UM	51.2	0.3
9630	UM	51.34	82.16
5165	UM	51.3	0.4
9733	UM	48.47	18.94
6957	UM	49.42	16.36
4807	UM	50.4	-4.9
9732	UM	48.47	18.96
9627	UM	51.32	82.55
9953	UM	51.33	82.19
6919	UM	50.3	8
9951	UM	51.34	82.57
9631	UM	51.65	80.79
7424	gbm	49.2	16.62
7117	gbm	51.51	9.68
7103	gbm	49.42	16.27
7199	gbm	50.95	6.97
7250	gbm	51.92	10.11
7383	gbm	49.3	-123
6960	gbm	48.5	-1.41
9772	gbm	48.41	8.85
7202	gbm	50.18	8.51
9995	gbm	48.14	9.4
9810	gbm	48.53	9.07
6008	gbm	49.1	16.2
9910	gbm	50.68	3.52
5023	gbm	51.3	0.5
9926	gbm	48.86	4.1
7106	gbm	51.05	13.73
6944	gbm	51.41	-0.64
9811	gbm	48.52	9.05
7177	gbm	49	15
9608	gbm	51.37	59.44
9804	gbm	48.45	8.87
9796	gbm	48.41	8.84
9998	gbm	48.44	8.82
6924	gbm	51.41	-0.64
9937	gbm	50.79	2.69
9921	gbm	48.57	4.41
9920	gbm	48.54	4.32
9787	gbm	48.5	9
4884	gbm	50.3	-4.9
9799	gbm	48.39	8.85
9609	gbm	51.41	59.98
8285	gbm	49.41	16.28
108	gbm	48.52	-4.07
7349	gbm	49.5	14.5
7521	gbm	49.38	16.81
403	gbm	49.37	16.27
5890	gbm	49.41	16.28
5921	gbm	49.41	16.28
6903	gbm	49.4	16.23
8244	gbm	48.61	2.31
6951	gbm	49.42	16.36
6907	gbm	51.41	-0.64
