Accessionid	FLC_meth_status	Latitude	Longitude
6180	UM	62.63	17.69
6009	UM	62.88	18.18
6900	UM	63.32	18.48
6210	UM	62.88	18.18
9323	gbm	62.86	18.34
6016	gbm	62.9	18.4
6013	gbm	62.88	18.18
6173	gbm	62.87	18.34
6184	gbm	62.89	18.45
8376	gbm	62.69	18
6017	gbm	62.9	18.4
6177	gbm	62.63	17.69
9386	gbm	62.81	18.19
6244	gbm	62.92	18.47
6237	gbm	62.96	18.35
6221	gbm	62.81	18.19
6011	gbm	62.88	18.18
6172	gbm	62.87	18.34
6153	gbm	62.64	17.74
6046	gbm	62.8	18.08
6220	gbm	62.81	18.19
6241	gbm	62.96	18.36
6070	gbm	62.93	18.34
6238	gbm	62.96	18.35
6012	gbm	62.88	18.18
6217	gbm	63.02	18.33
6174	gbm	62.87	18.34
6030	gbm	62.81	18.19
9332	gbm	62.87	18.38
6064	gbm	62.95	18.28
6043	gbm	62.8	18.08
9388	gbm	62.81	18.19
9433	gbm	62.95	18.28
6218	gbm	63.02	18.33
6069	gbm	62.95	18.28
6071	gbm	62.93	18.34
9321	gbm	62.86	18.34
