Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1311990	1061_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311990/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445875	SRX445875	Manu Dubin	"Mar 28, 2015"
GSM1311991	1061_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311991/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445876	SRX445876	Manu Dubin	"Mar 28, 2015"
GSM1311992	1062_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311992/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445877	SRX445877	Manu Dubin	"Mar 28, 2015"
GSM1311993	1062_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311993/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445878	SRX445878	Manu Dubin	"Mar 28, 2015"
GSM1311994	1063_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311994/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445879	SRX445879	Manu Dubin	"Mar 28, 2015"
GSM1311995	1137_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311995/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445880	SRX445880	Manu Dubin	"Mar 28, 2015"
GSM1311996	1137_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311996/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445881	SRX445881	Manu Dubin	"Mar 28, 2015"
GSM1311997	1254_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311997/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445882	SRX445882	Manu Dubin	"Mar 28, 2015"
GSM1311998	1257_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311998/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445883	SRX445883	Manu Dubin	"Mar 28, 2015"
GSM1311999	1318_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1311nnn/GSM1311999/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445884	SRX445884	Manu Dubin	"Mar 28, 2015"
GSM1312000	1363_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312000/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445885	SRX445885	Manu Dubin	"Mar 28, 2015"
GSM1312001	1367_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312001/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445886	SRX445886	Manu Dubin	"Mar 28, 2015"
GSM1312002	1367_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312002/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445887	SRX445887	Manu Dubin	"Mar 28, 2015"
GSM1312003	1552_10C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312003/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445888	SRX445888	Manu Dubin	"Mar 28, 2015"
GSM1312004	1552_16C	SRA	Arabidopsis thaliana	1	GPL13222	GSE54292	TXT;SRA Run Selector	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1312nnn/GSM1312004/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX445889	SRX445889	Manu Dubin	"Mar 28, 2015"
