accessionid	Allele	Longitude	Latitude
8426	Del	13.97	56.06
6042	Del	13.9	56.09
6243	Del	13.85	55.95
8256	Del	12.9	56.4
6973	Del	13.97	56.06
8387	Del	18	59
8386	Del	11.2	58.9
6041	Del	14.78	56.03
6108	Del	13.12	55.8
6188	Del	14.14	55.77
8334	Del	13.2	55.71
6193	Del	14.13	55.77
9390	Del	15.9	57.33
6189	Del	14.14	55.77
8326	Del	14.78	56.03
6195	Del	14.13	55.77
6039	Del	13.74	56.1
9412	Del	16.15	57.27
9391	Del	15.9	57.33
8259	Del	12.9	56.4
8241	Del	13.82	55.95
9057	Del	13.92	56.1
6035	Del	13.74	56.1
6038	Del	13.74	56.1
9402	Del	14.85	57.88
6034	Del	13.74	56.1
6040	Del	13.4	55.66
8283	Del	14.12	55.76
6136	Del	13.55	55.93
6074	Del	16.14	56.46
6036	Del	13.74	56.1
6242	Del	13.2	55.7
5832	Del	15.97	56.33
997	Del	14.05	55.38
6137	Del	13.56	55.94
8249	Del	15.8	57.7
6023	Del	13.37	55.75
6092	Del	13.22	55.65
9437	Del	14.68	56.16
8335	Del	13.2	55.71
8222	Del	14.78	56.03
6111	Del	13.12	55.8
8247	Del	13.74	56.07
6106	Del	13.12	55.79
8306	Del	13.74	56.1
8237	Del	13.1	55.8
6125	Del	13.31	55.84
992	Del	14.05	55.38
6150	Del	13.53	55.93
6132	Del	13.32	55.84
6201	Del	14.12	55.77
9421	Del	14.4	55.97
8230	Del	16.5	56.68
9452	Del	18.21	57.25
6140	Del	13.55	55.94
6090	Del	13.22	55.65
6107	Del	13.12	55.79
6148	Del	13.55	55.93
6142	Del	13.56	55.94
7354	Del	14.9	56.5
9382	Del	14.21	55.81
6145	Del	13.55	55.95
6128	Del	13.29	55.84
9451	Del	18.21	57.25
6024	Del	13.37	55.75
9395	Del	15.01	57.51
9409	Del	14.3	56.06
9058	Del	16.63	57.75
6088	Del	16.13	56.47
6268	Del	14.33	55.58
8242	Del	15.79	56.15
9454	Del	18.52	57.8
9369	gbM	15	57.68
6115	gbM	13.14	55.8
6112	gbM	13.1	55.8
8240	gbM	13.2	55.71
6021	gbM	14.29	56.06
6126	gbM	13.3	55.84
9399	gbM	13.99	55.42
6114	gbM	13.13	55.81
6198	gbM	14.13	55.77
8369	gbM	13.45	55.69
6413	gbM	13.97	56.06
6109	gbM	13.12	55.79
6149	gbM	13.55	55.93
6151	gbM	13.22	55.65
6102	gbM	13.2	55.6
6098	gbM	13.22	55.66
6124	gbM	13.31	55.84
6100	gbM	13.2	55.6
6104	gbM	13.2	55.7
6076	gbM	13.45	55.69
6099	gbM	13.24	55.66
8422	gbM	14.29	56.06
7516	gbM	14.33	55.58
9481	gbM	13.85	55.42
9408	gbM	13.95	56.05
6085	gbM	13.21	55.71
6202	gbM	14.12	55.77
9416	gbM	18.38	57.72
6284	gbM	14.33	55.58
9353	gbM	16.37	57.26
9352	gbM	16.37	57.26
6131	gbM	13.32	55.84
6276	gbM	14.33	55.58
9407	TEm	13.4	55.75
9450	TEm	18.21	57.25
9404	TEm	13.4	55.75
1002	TEm	14.05	55.38
6020	TEm	14.29	56.06
6105	TEm	13.12	55.8
6138	TEm	13.55	55.94
6133	TEm	13.29	55.84
9405	TEm	13.4	55.75
6073	TEm	15.82	56.15
6086	TEm	11.2	58.9
6974	TEm	13.97	56.06
9343	UM	18.15	57.31
