<Covariate>							
<Trait>	Q1	Q2	Q3	Q4	Q1	Q2	Q3
88	1.6772212	-5.135693	-2.463229	1.7267647	-4.0068135	-3.369369	-1.1577839
108	3.9071352	-6.6531897	-2.5715568	-2.077825	-2.7448351	2.5914178	0.047739826
801	1.756563	-12.755145	-1.1362313	-4.92563	0.9988902	-0.7067941	0.8334938
915	-2.253061	-0.8660742	0.18099174	4.8025384	-0.8081364	-4.570744	-4.025044
1853	3.6902096	-2.3148918	0.71833664	0.4048535	-4.41816	-5.7344346	2.6741536
1872	1.592424	-8.09568	0.27290037	-3.1987498	-2.374354	-0.5353698	2.265797
2017	0.5840219	-9.583147	-0.7930774	-0.2265405	-2.9622056	-8.369453	1.8891046
2171	9.232053	-4.2025566	-3.566104	1.7110705	-2.0679672	-4.668022	-0.7960404
2276	1.9866227	-6.5868607	-0.40482435	1.0805362	-4.677608	-5.2897353	0.63881266
4826	4.0845366	-3.8966765	-1.2700502	1.8992974	-3.590831	-2.1353006	-2.2590928
4840	-9.310692	-5.3639784	2.2375584	2.1926916	-2.9966257	-2.7061608	-2.1441622
4857	-4.694682	-8.725421	2.2564173	1.1868174	-3.6640947	-3.6209333	-1.189175
5165	-3.4730136	0.28816184	3.257051	0.4499166	-2.3103108	0.47379193	0.7896482
5279	0.43545526	-8.847005	-1.2808038	0.33107087	-3.0536103	-5.3857207	-1.280513
5395	-2.8002384	-7.18116	1.1959395	1.6834322	-4.430922	-4.194408	-0.9979081
5486	0.6102225	-4.3263373	1.1390306	2.4464035	-2.6033568	-2.7009525	-5.2189517
5720	-5.791545	-3.1597724	-1.9715813	-0.12999949	-3.1949813	3.0084805	2.0780785
5741	3.5579634	-10.652813	1.4148377	-0.38353786	-0.8993813	-0.1882905	0.73048085
5779	-4.826112	-7.2137475	-2.8946588	-0.3891177	-3.742647	1.380534	-1.5732218
5784	-5.6748147	-8.374549	0.46150067	4.9452047	-0.25191933	-0.17028998	1.5302007
5811	-2.2568207	-8.054753	0.06536938	5.107843	-1.5054433	-4.0488524	-0.6170169
5822	-35.303787	1.2100434	-20.096073	9.959739	8.282016	-2.3523533	1.5030105
5874	8.096113	-1.8929536	-1.3976668	2.1931283	-2.6554067	-0.7249826	-3.1095617
6008	8.969171	3.444679	-1.6749142	-0.9707885	-1.6232941	-0.6307862	-4.0947266
6296	5.4050355	-5.058812	3.077112	-1.6749676	-0.97040254	5.274373	-0.5695324
6396	7.8734336	-2.7500439	0.5051171	2.0078917	-2.327497	-1.6119183	-3.5818117
6908	1.1879183	-6.3750515	-1.6516826	1.3064884	-3.8847454	-3.7316835	-1.4673742
6920	-14.494326	-3.5669143	3.9941168	3.834753	1.3223213	1.937367	2.0638163
6927	4.7796955	0.14958987	0.43372527	-0.17705841	-4.664113	-4.801985	5.330318
6933	-11.7859125	-5.632283	-5.086138	0.42778933	-1.1789229	3.3393612	-0.7179383
6957	5.1885095	-5.2425456	-1.9979007	1.9687773	-2.0518894	-3.088994	-4.637546
6960	-9.681388	2.6953895	4.172038	0.02779791	0.17811215	-2.1074562	0.8739048
6966	-4.101375	2.3993669	3.067694	-1.7558792	-4.016493	-3.97647	1.2518731
6969	11.697186	3.2853048	-3.1027648	2.8450394	1.0697616	-0.15559989	0.46179396
6973	10.375149	0.38457447	-2.5061145	1.9982674	-1.521069	-1.1285868	-3.2935936
6976	12.229468	1.5676488	-2.8485808	0.64100915	-0.83792	1.3365077	-1.2365053
7033	3.3563294	0.921508	3.3702044	-1.0247042	-3.6825383	-6.398194	4.0743585
7063	-28.89381	0.48749277	-16.214396	5.764293	3.2183669	4.803463	3.1964486
7081	0.25979078	-11.477285	-0.13521443	-0.019137692	-1.3038495	-0.91119605	-1.6876167
7111	-3.3203955	-8.151515	2.9409144	5.0814548	-1.545153	-4.271615	-0.12790169
7213	-4.6977153	-10.719057	2.1167018	-2.7150264	1.1028088	3.188793	-1.9181937
7231	2.4120154	-4.038749	1.326829	3.5188777	-2.2861261	-2.8763037	-1.4914834
7296	-0.94199884	-10.07804	2.2205353	1.8076961	-1.0395263	-1.5663344	-2.250983
7372	4.4068265	-9.482525	-0.03398297	-1.7649289	-2.0723767	-2.1416826	-2.0817084
7417	9.396631	7.367995	-3.9355729	-2.4090214	-1.2400182	-0.8126914	-0.32984602
7430	-10.198566	-7.3011684	-1.5713527	5.340769	-2.4216058	-4.130377	-2.7846198
7525	6.0417447	-0.002020621	-4.1974273	-0.061365876	-5.3121195	-2.783278	0.77250326
7717	1.1442024	-5.8600855	0.7667238	-0.22033004	-3.5909293	-1.4348453	-0.08617047
8234	-4.859934	-4.163706	0.04982856	4.088293	-1.9503857	-0.25488907	-1.9731659
8235	12.15033	-3.1316211	-3.0018444	3.1247013	0.3085963	-2.430332	-2.3081923
8238	-0.6725699	-1.614295	2.2676249	2.4131403	-2.0407712	0.75683534	-1.6017228
8243	3.3511527	-4.6913977	-3.898236	2.184188	-3.1948204	-4.000971	-2.885829
8284	11.941655	0.6931177	-4.0170403	1.506897	-1.7442445	-1.9430281	-3.831513
8297	-0.8040572	-2.5762224	-0.9933219	1.1238022	-4.9532003	-1.0232755	-1.3161427
8334	11.792467	-0.44784296	-2.195292	2.1570313	-1.8091521	-2.671271	-2.767969
8351	7.339718	-2.009939	-0.10777987	1.1469326	-1.4353391	0.14564921	1.8148433
9067	9.752499	-3.872458	0.7846933	-0.036295313	1.3256474	2.8479276	1.585091
9078	-2.3320324	-9.70985	-6.9438124	-6.1723614	2.3356888	1.3332556	-0.49192643
9079	-11.017594	-5.656902	3.0606186	3.7741764	0.8752011	-1.0008701	-0.3825724
9085	-6.0496383	-6.6655493	2.4230492	3.4322033	-0.50807226	-1.4736869	-0.46973753
9100	-0.18591768	2.3802967	-6.567051	-0.506212	-3.871308	-0.28261498	-5.391644
9102	0.86878836	-10.197352	-2.5695117	-2.5820763	-1.6623646	-0.92641836	-2.1685135
9121	16.457874	0.119689256	-5.5060763	1.2124617	1.8340715	1.3440764	0.7524563
9128	11.026236	-3.6146452	-1.6470293	-1.5569992	1.70797	4.449336	-1.7730055
9130	5.708958	-9.205211	-0.25521109	-3.8342304	2.3042367	2.902721	-1.1947339
9622	0.81619394	2.3356073	1.5935669	-0.4977388	4.541996	2.0143204	-4.6179094
9624	-17.339254	2.6641386	4.5343323	0.99108076	10.319449	-2.3519113	-6.1501164
9630	-17.211395	-8.199244	-1.9305568	3.2779186	5.156502	5.411392	-3.1247833
9642	-0.65856624	-6.097941	-1.10371	-1.6742862	3.298664	4.745248	-3.2369297
9663	14.538608	0.68651783	-4.73424	-0.79751146	-0.07445714	2.8768325	0.489368
9665	-4.5245724	2.7410076	1.8627036	-0.6029272	1.7466415	1.2533038	-1.6754378
9689	-9.141448	2.2720523	-3.293878	1.8765048	-0.5936341	4.324092	-2.169205
9720	-2.9392922	-13.457715	-1.3846246	-4.1187367	1.262517	0.7766962	0.49439907
9725	-10.7590475	-4.0814877	-5.471815	-1.7438192	-1.2388179	5.922405	-6.3119164
9731	-1.8137246	-10.536639	2.3237362	-3.2079604	-0.75816596	3.743301	-0.27341
9735	4.3683567	-2.2869523	1.6888574	-0.8833293	-0.22468527	4.3274713	-3.267952
9748	-6.445214	0.5295389	3.2272577	0.011252719	-1.2555727	2.320978	-0.11811384
9762	-5.128192	5.189949	-2.7109635	0.5261273	2.4448462	-0.60014194	1.8625095
9909	2.7353032	-5.047955	-0.9751631	3.5668378	-2.5794716	-2.9330163	-2.7209868
9911	0.1221371	-1.1703321	0.44507578	1.8830615	-3.0001605	-2.7058163	-2.29826
9918	7.859434	-0.9875089	-6.158545	4.0454216	-1.8826593	-4.904181	-2.0897133
9925	9.334968	2.8716981	-1.0241303	-0.2534263	-1.6511528	-1.9573472	2.1928155
9955	-5.5768332	0.059152626	-2.7095692	3.6568651	1.5414631	-1.154001	-6.640577
9959	-7.956217	1.2793789	4.919474	1.328718	6.2282596	-0.19011551	-4.545761
9960	-0.42762306	3.7231126	-1.073492	1.2564758	4.4568324	-1.4114448	-3.166246
9968	-2.182346	-6.910121	3.348635	3.2542233	-0.8552665	-2.2379797	-0.41166192
9970	6.9480047	-7.288971	-3.3128824	-1.6790648	0.092999466	-2.679653	-1.7345086
9979	14.702514	3.5237863	-9.717223	2.059105	-0.23584637	-3.2240868	-3.8729074
9982	4.505856	4.5844364	-1.9839007	-2.0329375	-1.0276229	-1.38873	-1.3742505
9988	1.1077856	-9.202777	3.009705	2.536728	0.07824082	0.3019545	-1.129784
9993	9.388854	-4.28392	-11.235642	-3.890321	2.3846822	0.099239044	-2.2406895
9995	-1.8517599	5.560618	0.089099504	-3.4005866	0.8143398	-2.7248707	-0.7550944
10002	-1.3863169	-2.2565956	-0.12586448	2.2547123	-4.1503825	-2.8900166	-1.5164698
10005	-2.9942858	2.6150148	3.119482	-0.10503854	0.87446046	-1.1113987	-2.2858396
10008	0.5489024	-4.7137713	1.944345	4.0248137	2.4202487	-0.41676924	-4.637146
10001	-4.587128	2.9852872	2.5010438	-1.9490958	-2.75172	-0.10062215	-0.059235185
10004	-1.8634855	3.8614838	3.2215114	-1.4014552	0.95681375	-1.3859575	-3.7362237
10006	-4.574987	1.7640979	-2.8655071	0.37551007	-1.7479669	2.620967	-0.113586955
10010	-13.075707	6.640219	-3.059604	-1.1158326	6.3851995	-2.6716533	-5.3114533
10011	16.818571	5.473837	-2.9103856	-0.11956745	6.4224463	0.42231873	-1.4028736
10013	-2.691436	0.60191715	1.6938854	1.0089154	0.489104	1.2140907	0.5928646
10014	10.79436	0.40604392	0.89202404	0.5583378	1.5591038	2.0369174	1.8427926
10015	12.437228	5.838846	-1.631761	-2.1879506	5.3538065	0.93928283	-4.1482635
10017	-0.144476	0.19946545	6.684411	-0.4789643	-0.27745768	0.9281701	0.7860316
10018	7.2737217	3.2416992	2.4443905	-0.17822012	1.0245721	2.0558298	-1.517454
10020	11.816349	4.8986816	-0.20521209	-1.1316653	0.3412521	1.748305	-1.9404367
10022	4.059336	0.0349809	-0.24737488	-1.0219746	-1.7842588	4.1983643	-1.3058727
10023	-9.565151	3.8334038	0.63305736	-0.74375176	1.4777639	0.13900942	-0.42437294
1002	-3.7352784	-2.1750538	4.4221683	0.9144162	-1.5574346	5.0814457	0.40191272
1066	-1.4831878	2.3511286	4.8118253	-0.554233	0.10056019	-1.0987343	-0.5286338
1158	-6.0285335	-0.12742467	-1.2260976	-1.5233511	-2.706817	4.528712	-1.9091522
159	-1.364761	-1.4028236	1.1576304	2.3756158	-2.007094	-1.251119	-1.8651006
1829	5.66329	3.7460947	0.51042396	-2.157825	-2.2844203	-3.7638357	2.3087564
1890	3.466571	6.1331363	-5.156262	-0.70477444	2.3167727	-0.5615685	-6.999135
1925	3.4078672	3.4400847	2.6970289	-1.7393578	-0.24857655	-3.0944633	2.6068084
1954	3.090354	4.0953074	3.5488708	-2.744805	0.8747078	-4.9167876	3.6195643
2016	1.2908692	3.7757418	3.4166522	-1.800018	0.97915775	-1.4431037	-0.050929062
2202	5.3995442	3.328213	3.0897799	-0.9217125	2.4101381	0.7850648	0.06201433
2278	2.1388083	3.9932938	3.8870337	-4.3201203	-1.8350744	-6.337062	5.0031075
2317	2.2544813	5.640806	-0.3234069	-3.6720438	-2.036371	-2.6507874	-0.38336858
265	-12.484237	-0.8912605	-0.54514277	1.5223273	-1.3728245	3.5598052	3.112089
350	-1.6099361	-4.080841	-0.13444512	1.1267651	-3.8671408	-1.3459336	-2.309522
351	6.4661636	4.2336435	-1.1135119	-1.296902	-1.339067	0.22144823	0.17502713
403	9.100494	4.4914126	-1.3584669	-1.683125	-1.2894568	2.6835554	-3.0369327
410	8.97242	5.1350045	1.8789244	-1.5429473	1.6205633	0.85122824	-0.85634685
424	12.146799	5.662153	-0.07532347	-1.8790532	0.023938185	0.55957204	-2.0456648
4807	-1.069946	1.6519611	-0.2368497	-0.9546054	-2.547221	0.523906	0.23153673
4884	-5.5005093	1.0102011	3.627844	-2.37529	-3.9348764	-1.6847069	1.9770534
4958	0.8663956	-3.1509786	1.606013	0.23733416	-3.6893487	-0.06269096	-1.009683
5023	-3.169495	1.9890177	2.437902	-3.218417	-4.222635	-3.2828157	1.5880203
506	2.2943575	-4.4765368	1.7425691	-0.6125014	-4.16605	-5.030446	5.01403
5104	-2.9030113	-2.672039	3.4431157	-2.090094	-1.4646598	3.8995466	-3.4855325
5151	10.692184	3.7737527	3.0318503	-1.7907903	1.2244326	-0.31878108	1.8975966
5210	-6.084941	4.3155036	3.6366994	-2.9508045	-0.1717807	-3.1744795	1.8274213
5236	-3.618011	3.9421568	4.8086104	-5.0369577	-3.253638	-6.6771116	3.497655
5249	-3.320471	3.8241928	3.247922	-4.181576	-1.2297347	-4.3695054	0.6206223
5276	-4.3297625	2.9881728	5.188767	-4.6082544	-2.8831644	-5.6367965	3.6308336
5349	-1.3216566	5.3655577	1.1266528	-3.1458	0.38254416	-2.2101445	-0.34293544
5353	3.4888952	5.0950174	-0.76805234	-3.9741666	-3.5623205	-3.9488478	2.5029993
5577	-2.2574897	3.0750318	2.5229714	-3.408497	-4.1769805	-4.134261	3.6943243
5644	4.8880115	4.5007052	-1.2401465	-1.5634147	-1.6077684	-0.7616633	1.5296683
5717	-2.779712	1.9466362	3.6176605	-2.4108632	-2.9243927	-1.9586614	-0.056056798
